FLIGHT,ORIGIN,DEST,DEP_TIME,ARR_TIME,DISTANCE
1717-CLT-FLL,CLT,FLL,2016-09-01 22:10:00,2016-09-02 00:05:00,632.0
1719-CLT-FLL,CLT,FLL,2016-09-01 16:25:00,2016-09-01 18:28:00,632.0
1720-CLT-MDT,CLT,MDT,2016-09-01 19:50:00,2016-09-01 21:21:00,413.0
1721-CLT-EWR,CLT,EWR,2016-09-01 18:10:00,2016-09-01 20:02:00,529.0
1722-CLT-DCA,CLT,DCA,2016-09-01 09:30:00,2016-09-01 10:58:00,331.0
1725-CLT-MCO,CLT,MCO,2016-09-01 07:43:00,2016-09-01 09:28:00,468.0
1726-CLT-ILM,CLT,ILM,2016-09-01 22:41:00,2016-09-01 23:36:00,185.0
1729-CLT-MCO,CLT,MCO,2016-09-01 11:20:00,2016-09-01 13:02:00,468.0
1730-CLT-DCA,CLT,DCA,2016-09-01 11:30:00,2016-09-01 12:57:00,331.0
1732-CLT-DCA,CLT,DCA,2016-09-01 07:30:00,2016-09-01 08:55:00,331.0
1733-CLT-MCO,CLT,MCO,2016-09-01 18:19:00,2016-09-01 20:03:00,468.0
1735-CLT-LAS,CLT,LAS,2016-09-01 11:25:00,2016-09-01 16:06:00,1916.0
1736-CLT-JAX,CLT,JAX,2016-09-01 11:50:00,2016-09-01 13:15:00,328.0
1737-CLT-LAX,CLT,LAX,2016-09-01 14:56:00,2016-09-01 20:14:00,2125.0
1738-CLT-GSO,CLT,GSO,2016-09-01 16:15:00,2016-09-01 17:08:00,83.0
1739-CLT-AUS,CLT,AUS,2016-09-01 14:50:00,2016-09-01 17:48:00,1032.0
1740-CLT-LGA,CLT,LGA,2016-09-01 18:40:00,2016-09-01 20:30:00,544.0
1745-CLT-PIT,CLT,PIT,2016-09-01 16:45:00,2016-09-01 18:09:00,366.0
1747-CLT-PIT,CLT,PIT,2016-09-01 19:55:00,2016-09-01 21:17:00,366.0
1750-CLT-DCA,CLT,DCA,2016-09-01 17:52:00,2016-09-01 19:15:00,331.0
1752-CLT-STL,CLT,STL,2016-09-01 11:15:00,2016-09-01 13:05:00,575.0
1756-CLT-BDL,CLT,BDL,2016-09-01 09:50:00,2016-09-01 11:53:00,644.0
1760-CLT-FLL,CLT,FLL,2016-09-01 14:30:00,2016-09-01 16:30:00,632.0
1762-CLT-RDU,CLT,RDU,2016-09-01 09:40:00,2016-09-01 10:40:00,130.0
1770-CLT-ORF,CLT,ORF,2016-09-01 09:19:00,2016-09-01 10:24:00,290.0
1772-CLT-DFW,CLT,DFW,2016-09-01 09:25:00,2016-09-01 12:13:00,936.0
1774-CLT-CLE,CLT,CLE,2016-09-01 22:25:00,2016-09-01 23:54:00,430.0
1775-CLT-DFW,CLT,DFW,2016-09-01 16:12:00,2016-09-01 19:04:00,936.0
1780-CLT-CLE,CLT,CLE,2016-09-01 09:45:00,2016-09-01 11:24:00,430.0
1783-CLT-BOS,CLT,BOS,2016-09-01 20:35:00,2016-09-01 22:46:00,728.0
1784-CLT-MEM,CLT,MEM,2016-09-01 09:29:00,2016-09-01 11:15:00,511.0
1785-CLT-ORF,CLT,ORF,2016-09-01 22:44:00,2016-09-01 23:48:00,290.0
1787-CLT-PDX,CLT,PDX,2016-09-01 18:15:00,2016-09-01 23:47:00,2282.0
1788-CLT-ORD,CLT,ORD,2016-09-01 22:40:00,2016-09-02 00:44:00,599.0
1789-CLT-PBI,CLT,PBI,2016-09-01 14:35:00,2016-09-01 16:28:00,590.0
1791-CLT-TPA,CLT,TPA,2016-09-01 16:31:00,2016-09-01 18:14:00,507.0
1793-CLT-PIT,CLT,PIT,2016-09-01 22:25:00,2016-09-01 23:44:00,366.0
1795-CLT-IND,CLT,IND,2016-09-01 09:40:00,2016-09-01 11:22:00,427.0
1796-CLT-PHL,CLT,PHL,2016-09-01 22:15:00,2016-09-01 23:51:00,449.0
1797-CLT-RDU,CLT,RDU,2016-09-01 11:25:00,2016-09-01 12:19:00,130.0
1798-CLT-PHL,CLT,PHL,2016-09-01 20:05:00,2016-09-01 21:45:00,449.0
1799-CLT-SFO,CLT,SFO,2016-09-01 18:05:00,2016-09-01 23:36:00,2296.0
1802-CLT-MSY,CLT,MSY,2016-09-01 16:39:00,2016-09-01 18:40:00,651.0
1806-CLT-BOS,CLT,BOS,2016-09-01 17:50:00,2016-09-01 20:02:00,728.0
1808-CLT-TPA,CLT,TPA,2016-09-01 13:00:00,2016-09-01 14:42:00,507.0
